,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
0,3969.74358912,4003.71794817,3959.87179425,4005.25640977,3985.76923022,3987.69230714,4171.02564089,3968.20512758,3999.10256355,3970.38461476,3973.33333278,3928.20512751,3964.10256348,3919.87179418
1,3955.38461476,3989.10256355,3948.7179481,3982.69230714,3961.28205066,3970.76923015,4171.66666653,3951.79487117,3969.87179425,3950.25640963,3937.43589674,3923.33333264,3973.97435842,3920.38461469
2,3915.25640957,3944.35897374,3904.61538385,3932.30769162,3899.87179411,3943.7179481,4169.74358961,3913.97435828,3925.12820444,3903.58974283,3890.76923001,3880.76923001,3935.51281982,3875.2564095
3,3896.41025565,3925.25640957,3887.5641018,3919.99999931,3892.17948642,3927.82051213,4168.20512807,3905.89743521,3922.94871726,3901.02564027,3895.2564095,3845.89743507,3888.97435821,3842.17948635
4,3849.48717866,3879.61538385,3838.46153756,3882.5641018,3865.1282043,3865.64102481,4170.12820499,3858.71794789,3877.5641018,3864.10256327,3858.71794789,3798.71794775,3838.33333243,3796.41025544
5,3882.43589668,3914.23076854,3865.76922994,3907.56410187,3906.15384546,3882.30769155,4170.51282038,3888.84615309,3908.97435828,3892.05128129,3877.5641018,3834.9999991,3891.15384539,3828.07692218
6,3893.4615377,3927.05128136,3876.66666591,3912.56410187,3919.35897367,3881.15384539,4170.38461525,3894.74358898,3913.71794803,3894.23076847,3891.28205052,3835.25640936,3906.53846085,3826.02564013
7,3865.38461455,3897.17948642,3843.71794789,3885.51281975,3850.25640943,3864.99999917,4171.5384614,3859.2307684,3870.51281968,3863.20512738,3879.3589736,3802.43589647,3876.92307616,3795.7692298
8,3799.10256313,3841.41025558,3788.58974262,3827.05128115,3762.56410153,3831.02564013,4172.17948704,3802.30769134,3815.12820423,3802.82051185,3811.02564013,3749.48717845,3816.15384525,3737.94871684
9,3779.74358877,3836.15384525,3789.10256313,3820.64102474,3799.61538365,3792.94871698,4170.64102551,3794.23076826,3813.58974269,3787.94871698,3774.74358877,3725.64102453,3790.7692298,3714.48717838
10,3735.89743479,3782.5641016,3739.10256299,3774.61538365,3788.46153749,3730.64102453,4170.25641012,3750.38461435,3768.58974255,3745.76922973,3724.35897325,3674.48717824,3745.76922973,3675.76922952
11,3799.8717939,3839.48717859,3792.82051185,3829.61538372,3814.9999991,3841.41025558,4168.58974345,3815.897435,3832.56410166,3808.71794782,3797.94871698,3751.41025537,3817.17948628,3758.33333229
