,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
0,4100.25640991,4131.15384588,4087.43589709,4101.15384581,4055.89743548,4147.17948697,4161.15384595,4193.97435884,4067.30769189,4060.12820472,4239.48717949,4111.28205101,4091.28205094,4141.66666646
1,4099.87179453,4131.41025614,4092.30769196,4104.61538434,4055.76923036,4144.35897415,4161.66666646,4194.87179474,4064.74358933,4067.82051241,4228.33333327,4118.58974332,4109.74358947,4145.51282031
2,4098.07692273,4132.30769203,4091.41025607,4105.7692305,4062.30769189,4151.53846133,4162.3076921,4196.15384602,4067.69230728,4068.7179483,4234.35897436,4109.48717921,4093.46153812,4136.41025621
3,4104.48717921,4135.25640998,4091.66666632,4108.46153819,4064.6153842,4151.66666646,4162.56410236,4200.64102551,4072.43589709,4063.20512779,4249.61538462,4108.84615357,4082.05128171,4139.1025639
4,4109.48717921,4137.43589723,4102.82051255,4116.66666639,4063.20512779,4151.02564082,4161.15384595,4203.20512814,4076.41025607,4071.79487145,4266.41025641,4124.35897408,4102.56410229,4154.35897415
5,4107.56410229,4134.48717921,4108.9743587,4116.02564075,4065.5128201,4156.41025621,4160.12820492,4204.48717942,4075.38461504,4084.10256376,4280.64102571,4124.48717921,4111.92307665,4154.9999998
6,4102.30769196,4127.82051255,4102.82051255,4102.56410229,4066.28205087,4149.9999998,4160.38461518,4203.4615384,4067.69230728,4084.48717914,4268.33333341,4112.94871767,4103.20512793,4147.94871774
7,4096.66666632,4123.71794844,4100.51282017,4097.82051248,4066.15384574,4139.48717928,4161.79487159,4194.35897422,4061.410256,4077.30769196,4249.23076923,4110.38461511,4101.02564068,4150.12820492
8,4097.17948684,4126.92307665,4104.61538434,4107.56410229,4079.87179453,4145.51282031,4161.92307672,4192.17948704,4064.87179446,4073.97435863,4262.30769231,4111.79487152,4101.15384581,4152.3076921
9,4099.48717914,4127.56410229,4102.56410229,4109.8717946,4081.28205094,4150.89743569,4161.53846133,4198.71794858,4068.07692266,4076.66666632,4281.0256411,4104.10256383,4092.43589709,4146.66666646
10,4101.28205094,4127.82051255,4102.05128171,4105.89743562,4073.58974325,4152.3076921,4162.05128185,4204.61538455,4068.07692266,4082.56410222,4277.82051289,4101.02564068,4084.99999966,4149.87179467
11,4102.17948684,4126.92307665,4104.74358947,4104.61538434,4082.82051248,4166.79487159,4164.23076903,4204.48717942,4066.410256,4086.02564068,4265.12820513,4107.17948691,4073.07692273,4157.56410236
12,4102.82051255,4125.51282024,4102.05128171,4104.10256383,4076.41025607,4183.46153833,4162.3076921,4199.48717935,4061.15384574,4086.66666632,4261.28205129,4103.71794844,4058.97435856,4153.58974339
13,4099.23076889,4124.48717921,4102.43589709,4103.20512793,4053.20512779,4179.2307691,4161.79487159,4193.71794858,4058.20512779,4084.87179453,4264.35897436,4088.33333299,4059.99999959,4146.28205108
14,4099.61538427,4125.38461511,4112.05128178,4102.43589709,4071.79487145,4169.87179474,4163.84615364,4193.07692294,4060.12820472,4079.48717914,4272.56410264,4080.25640991,4058.58974318,4150.12820492
15,4107.17948691,4125.89743562,4118.33333306,4103.46153819,4112.82051255,4174.35897422,4163.84615364,4194.99999986,4060.64102523,4082.30769196,4274.74358982,4087.43589709,4065.12820472,4159.35897415
16,4110.7692305,4123.20512793,4117.05128178,4108.20512793,4114.61538434,4179.99999986,4162.69230749,4191.79487166,4058.58974318,4091.15384581,4271.0256411,4090.25640991,4080.76923043,4164.1025639
17,4108.20512793,4121.41025614,4116.15384588,4108.58974332,4099.48717914,4176.5384614,4164.48717928,4183.3333332,4058.7179483,4091.41025607,4273.33333341,4082.17948684,4073.46153812,4161.92307672
18,4108.33333306,4117.43589716,4118.20512793,4101.02564068,4099.7435894,4172.69230756,4164.61538441,4175.38461525,4053.7179483,4090.38461504,4278.58974366,4076.53846119,4051.15384574,4158.07692287
19,4111.02564075,4114.99999973,4119.48717921,4105.64102537,4105.7692305,4175.51282038,4162.94871774,4176.15384602,4048.84615343,4095.25640991,4281.41025648,4074.35897402,4046.15384574,4158.205128
20,4106.79487152,4112.82051255,4118.58974332,4109.99999973,4103.0769228,4175.76923063,4164.87179467,4182.05128192,4054.10256369,4097.56410222,4276.923077,4068.58974318,4060.25640984,4158.46153826
